transaction_number,date,sp_number,vehicle_number,tbs_quantity,kg_quantity,division,pks
TRX030,10/30/2025,SP030,B1234XYZ,1015.75,965.3,Afdeling A,PKS 1
TRX031,10/30/2025,SP031,B5678XYZ,1140.5,1080.25,Afdeling B,PKS 2
TRX032,10/30/2025,SP032,B9012XYZ,970.25,922.75,Afdeling C,PKS 3
TRX033,10/30/2025,SP033,B1234XYZ,1040.5,990.466667,Afdeling A,PKS 4
TRX034,10/30/2025,SP034,B5678XYZ,915.125,866.741667,Afdeling B,PKS 5
TRX035,10/31/2025,SP035,B9012XYZ,950,903.016667,Afdeling C,PKS 6
TRX036,10/31/2025,SP036,B1234XYZ,924.875,879.291667,Afdeling A,PKS 7
TRX037,10/31/2025,SP037,B5678XYZ,899.75,855.566667,Afdeling B,PKS 8
TRX038,10/31/2025,SP038,B9012XYZ,874.625,831.841667,Afdeling C,PKS 9
TRX039,10/31/2025,SP039,B1234XYZ,1000.5,950.2,Afdeling A,PKS 1
