amount,creditor,due_date,description,status,paid_date
50000000,Bank Mandiri,11/25/2025,Pembelian alat produksi,unpaid,
25000000,PT Supplier Sawit,11/10/2025,Pembelian bahan baku,unpaid,
15000000,Koperasi Karyawan,11/05/2025,Pinjaman karyawan,paid,10/30/2025
30000000,CV Transport Berkah,11/15/2025,Biaya transport TBS bulan ini,unpaid,
20000000,Bpk. Ali Karyawan,11/20/2025,Hutang perjalanan dinas,unpaid,
35000000,Bank BRI,12/01/2025,Pembelian mesin press,unpaid,
18000000,PT Pupuk Indonesia,11/30/2025,Pembelian pupuk kimia,unpaid,
12000000,CV Alat Berat,11/28/2025,Sewa alat berat,unpaid,
28000000,PT Transportindo,12/05/2025,Biaya angkut TBS semester I,unpaid,
22000000,Bpk. Budi Karyawan,11/18/2025,Hutang medis,unpaid,
